title;artist;top genre;year;bpm;energy;danceability;valence;duration;acousticness;speechiness
Flowers;Miley Cyrus;pop;2023;118;68;71;65;200;6;7
Cupid - Twin Ver.;FIFTY FIFTY;k-pop girl group;2023;120;59;78;73;174;44;3
BESO;ROSALÍA;pop;2023;95;64;77;53;195;74;14
Boy's a liar Pt. 2;PinkPantheress;bronx drill;2023;133;81;70;86;131;25;5
Creepin' (with The Weeknd & 21 Savage);Metro Boomin;rap;2022;98;62;72;17;222;42;5
Daylight;David Kushner;gen z singer-songwriter;2023;130;43;51;32;213;83;3
TQG;KAROL G;reggaeton;2023;180;63;72;61;199;67;28
Calm Down (with Selena Gomez);Rema;afrobeats;2022;107;81;80;80;239;38;4
Anti-Hero;Taylor Swift;pop;2022;97;64;64;53;201;13;5
Here With Me;d4vd;bedroom pop;2022;132;47;57;29;242;53;3
I'm Good (Blue);David Guetta;big room;2022;128;97;56;30;175;0;3
Kill Bill;SZA;pop;2022;89;74;64;42;154;5;4
Die For You - Remix;The Weeknd;canadian contemporary r&b;2023;67;53;53;50;233;23;7
I Ain't Worried;OneRepublic;piano rock;2022;140;80;70;83;148;8;5
Quevedo: Bzrp Music Sessions Vol. 52;Bizarrap;argentine hip hop;2022;128;78;62;55;199;1;4
Starboy;The Weeknd;canadian contemporary r&b;2016;186;59;68;49;230;14;28
Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez;gen z singer-songwriter;2022;101;55;55;34;176;78;3
Another Love;Tom Odell;chill pop;2013;123;54;45;13;244;70;4
As It Was;Harry Styles;pop;2022;174;73;52;66;167;34;6
Blinding Lights;The Weeknd;canadian contemporary r&b;2020;171;73;51;33;200;0;6
Me Porto Bonito;Bad Bunny;reggaeton;2022;92;71;91;43;179;9;8
Mockingbird;Eminem;detroit hip hop;2004;84;68;64;25;251;21;27
Players;Coi Leray;new jersey underground rap;2022;105;52;95;62;140;3;16
Cruel Summer;Taylor Swift;pop;2019;170;70;55;56;178;12;16
Escapism.;RAYE;uk contemporary r&b;2022;96;74;54;25;272;14;11
